Office,Event Name,Location of Event,Event Duration (Hours),Number of Attendees
Community Engagement,Family Day,375 Huyler st,0.5,10
Community Engagement,Holy Trinity Procession,"",0.5,1
Community Engagement,"Movies under the stars ""Iron Giant""",Atlantic Street Park,0.5,1
Community Engagement,"Movies under the stars ""Lilo & Stich""",Atlantic Street Park,0.5,1
Community Engagement,"Movies under the stars ""Wicked""",Atlantic Street Park,0.5,1
Community Engagement,National Night Out,Atlantic Street Park,0.5,6
Community Engagement,Sounds of Summer concert Series,At The Green,0.5,1
Community Engagement,Sounds of Summer concert Series,Atlantic Street Park,1,2
Community Engagement,"Summer Concert Series ""Rebolu""",Atlantic Street Park,0.5,1
Community Engagement,"Summer Concert Series ""Steppin Out""""",Atlantic Street Park,0.5,6
Community Engagement,"Summer Concert Series ""Stone Flower""",Atlantic Street Park,0.5,1
Community Engagement,"The Comedy Of Errors ""Shakespeare",Atlantic Street Park,1,2
Community Engagement,Youth Academy,Jackson Ave School,2.5,50
Community Engagement,Youth Night,116 Holt st,0.5,4
Police Department,116 Holt Street,M&M Center,0.5,1
Police Department,214 Berdan Pl,New Hope Church,0.5,1
Police Department,421 Jackson Avenue,Jackson Ave. School,0.5,1
Police Department,Back to School Presentation,Christian High School,0.5,4
Police Department,Basketball Game,Carver Park,0.5,1
Police Department,National Night Out,Atlantic Street Park,0.5,8
Police Department,Sounds of Summer Concert,Atlantic Street Park,0.5,1
Police Department,Youth Night,MM Center,0.5,8
