Event ID	Date	Start Time	End Time	Total Time	# of LEAD Classes	CAD#	School Outreach Conducted 	Location	Attendees	Free Type Attendees
202510-001	10/01/25	0900	14:00	5 Hrs. 00 Mins	5		LEAD	Hillers School	Det. F. Katsaroans	
202510-002	10/01/25	0900	9:30	0 Hrs. 30 Mins	1		LEAD	Jackson Ave School 	Det. C. Lara-Nunez	
202510-003	10/09/25	0900	14:00	5 Hrs. 00 Mins	6		LEAD	Parker School 	Det. F. Garrett	Sgt. Del Carpio
202510-004	10/06/25	0900	9:30	0 Hrs. 30 Mins	1		LEAD	Jackson 	Sgt. M. DelCarpio	
202510-005	10/07/25	0900	9:30	0 Hrs. 30 Mins	1		LEAD	Jackson 	Sgt. M. DelCarpio	
202510-006	10/15/25	0900	9:30	0 Hrs. 30 Mins	1		LEAD 	Jackson 	Sgt. M. DelCarpio	Det. Garrett
202510-007	10/20/25	0900	9:30	0 Hrs. 30 Mins	1		LEAD	Jackson Ave School 	Sgt. M. DelCarpio	
202510-008	10/22/25	0900	9:30	0 Hrs. 30 Mins	1		LEAD	Jackson Ave School 	Sgt. M. DelCarpio	
202510-009	10/21/25	0900	14:00	5 Hrs. 00 Mins	6		LEAD	Fairmount School	Det. F. Katsaroans	
202510-010	10/22/25	0900	14:00	5 Hrs. 00 Mins	6		LEAD	Hillers School	Det. F. Katsaroans	
202510-011	10/23/25	0900	14:00	5 Hrs. 00 Mins	6		LEAD	Parker 	Det. F. Katsaroans	
202510-012	10/28/25	0900	10:00	1 Hrs. 00 Mins	1		LEAD	Fairmount School	Det. F. Katsaroans	
202510-013	10/29/25	0900	10:00	1 Hour 	1		LEAD	Hillers School	Det. F. Katsaroans	
202510-014	10/30/25	0900	10:00	1 Hrs. 00 Mins	1		LEAD	Parker School	Det. F. Katsaroans	
202510-015	10/31/25	1400	15:00	1 Hour 			Halloween 	ECDC 	Det. F. Katsaroans	Det. Lara-Nunez
