Date	Event Duration (Hours)	Event Name	Location of Event	Number of Police Department Attendees	Office
01/02/24	0.5	Community Outreach	HACPAC	2	Patrol
01/02/24	0.5	Main Street	Main St.	1	Patrol
01/08/24	0.5	Community Outreach	Atlantic Street Park	1	Patrol
01/08/24	0.5	Main Street	Main St.	1	Patrol
01/09/24	0.5	Main Street	Main St.	1	Patrol
01/09/24	0.5	Community Outreach	3 University Plaza	1	Patrol
01/12/24	0.5	Main Street	Main St.	1	Patrol
01/12/24	0.5	Community Outreach	72 Lodi	1	Patrol
01/16/24	0.5	Community Outreach	Civic Center	1	Patrol
01/16/24	0.5	Main Street	Main St.	1	Patrol
01/30/24	0.5	Community Outreach	M&M Center	1	Patrol
01/30/24	0.5	Main Street	Main St.	1	Patrol
02/01/24	0.5	Main Street	Main St.	1	Patrol
02/01/24	0.5	Community Outreach	Nellie K. Parker	1	Patrol
02/02/24	0.5	Main Street	Main St.	2	Patrol
02/02/24	0.5	Community Outreach	Hillers	1	Patrol
02/05/24	0.5	Community Outreach	2 Bergen Plaza	1	Patrol
02/05/24	0.5	Main Street	Main St.	1	Patrol
02/08/24	0.5	Community Outreach	The Green	1	Patrol
02/08/24	0.5	Main Street	Main St.	1	Patrol
02/09/24	0.5	Community Outreach	Civic Center	1	Patrol
02/09/24	0.5	Main Street	Main St.	1	Patrol
02/12/24	0.5	Main Street	Main St.	1	Patrol
02/12/24	0.5	Community Outreach	2 Bergen Plaza	1	Patrol
02/13/24	0.5	Community Outreach	102 State	1	Patrol
02/13/24	0.5	Main Street	Main St.	1	Patrol
02/15/24	0.5	Main Street	Main St.	1	Patrol
02/15/24	0.5	Community Outreach	Tree Lighting	1	Patrol
02/16/24	0.5	Main Street	Main St.	1	Patrol
02/16/24	0.5	Community Outreach	160 Ames St	2	Patrol
02/17/24	0.5	Main Street	Main St.	1	Patrol
02/17/24	0.5	Community Outreach	340 Hudson St.	1	Patrol
03/01/24	0.5	Main Street	Main St.	1	Patrol
03/01/24	0.5	Community Outreach	Foschini Park	1	Patrol
03/05/24	0.5	Main Street	Main St.	1	Patrol
03/05/24	0.5	Community Outreach	Civic Center	1	Patrol
03/07/24	0.5	Main Street	Main St.	1	Patrol
03/07/24	0.5	Community Outreach	Mt. Olive	1	Patrol
03/08/24	0.5	Main Street	Main St.	1	Patrol
